# time_step [ps]	 rmsd [AA]
0.0 	 472.45578379433493 
2.0 	 470.4977726187562 
4.0 	 469.8939528906021 
6.0 	 470.3801548763443 
8.0 	 470.74423628839065 
10.0 	 470.6698097743541 
12.0 	 469.1941169816364 
14.0 	 470.8981327370402 
16.0 	 468.1150620099461 
18.0 	 470.7012775718778 
20.0 	 470.50101637942277 
22.0 	 472.0097600450251 
24.0 	 471.49953331042235 
26.0 	 470.5630223035764 
28.0 	 470.9637265937755 
30.0 	 470.77115423017653 
32.0 	 471.13261950965807 
34.0 	 470.64815014463045 
36.0 	 470.1798457572724 
38.0 	 471.6354842366362 
40.0 	 470.80056188476317 
42.0 	 470.8575583305068 
44.0 	 471.28645286457873 
46.0 	 470.3361955938629 
48.0 	 468.9034397372413 
50.0 	 470.05538458812276 
52.0 	 470.2470020088019 
54.0 	 470.26295189699704 
56.0 	 469.6965645178253 
58.0 	 468.9094931716039 
60.0 	 467.42649018300546 
62.0 	 467.84284246460516 
64.0 	 466.7812476433062 
66.0 	 467.0115688555393 
68.0 	 467.05566038985955 
70.0 	 466.96560509466195 
72.0 	 467.78828728258753 
74.0 	 468.5011111696747 
76.0 	 469.06257232241416 
78.0 	 469.12284891706065 
80.0 	 469.2397717740573 
82.0 	 469.33709441698505 
84.0 	 470.5308957411126 
86.0 	 469.696751435365 
88.0 	 470.7813384498513 
90.0 	 467.11515883673746 
92.0 	 467.1898801524703 
94.0 	 467.1063204349389 
96.0 	 465.5048153691478 
98.0 	 466.7071555531536 
100.0 	 466.33487346040687 
102.0 	 466.3418290046817 
104.0 	 466.255217046068 
106.0 	 465.52623803347115 
108.0 	 466.51535949498975 
110.0 	 466.5511136592227 
112.0 	 466.05825023392384 
114.0 	 466.2706583934482 
116.0 	 465.84955114667997 
118.0 	 466.6421946044553 
120.0 	 466.5834110889258 
122.0 	 466.6649468356031 
124.0 	 466.3375388804733 
126.0 	 467.4285214281377 
128.0 	 467.37344181506376 
130.0 	 466.9685415356633 
132.0 	 466.06285570252044 
134.0 	 465.55434932215184 
136.0 	 466.2480457936966 
138.0 	 469.23611406596075 
140.0 	 467.1169586845381 
142.0 	 466.57674539477733 
144.0 	 467.19025557012316 
146.0 	 468.91996037839937 
148.0 	 465.1536226890462 
150.0 	 464.34695271454575 
152.0 	 463.6040670079524 
154.0 	 464.7785597915868 
156.0 	 463.48194985518296 
158.0 	 464.2060386976592 
160.0 	 465.07878486949954 
162.0 	 465.5899230984192 
164.0 	 470.4957009391273 
166.0 	 464.90365161290725 
168.0 	 464.6850107171656 
170.0 	 464.11113366297997 
172.0 	 464.16088132765606 
174.0 	 465.23230206842743 
176.0 	 464.899999417695 
178.0 	 463.458100422691 
180.0 	 464.31732888077084 
182.0 	 463.3407747025195 
184.0 	 464.2212115296736 
186.0 	 464.43135588837237 
188.0 	 464.437779455826 
190.0 	 464.89383288935693 
192.0 	 464.1825559280975 
194.0 	 464.12990701166655 
